"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",СИРА 750МЛ ПЕНТАГРАМ ПОМОРИЕ /6128/","016895","76","7.04",""
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",МЕРЛО 750МЛ ДОМЕЙН БОЙАР КВАНТУМ /6197/","016931","76","6.49",""
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",МУСКАТ 750МЛ РАКОВИНА/645/","016943","75","5.04",""
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",ШАРДОНЕ 750МЛ РАКОВИНА/644/","016944","75","5.04",""
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",КАБЕРНЕ 750МЛ РАКОВИНА /533/","016945","76","5.04",""
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",МЕРЛО 750МЛ РАКОВИНА/532/","016946","76","5.04",""
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",МИЕЩ ПРЕПАРАТ МЕДИКС 415МЛ МАКС ПАУЪР ЯБЪЛКА ЗЕЛЕН***","020112","79","1.12",""
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",САПУН ТЕО 70ГР БУКЕТ МИСТИКА","020161","83","0.61","0.46"
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",САПУН ТЕО 70ГР БУКЕТ ЕКЗОТИКА","020191","83","0.56","0.46"
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",МИЕЩ ПРЕПАРАТ МЕДИКС 415МЛ МАКС ПАУЪР НАР/АКВА БЛУ СИН***","020332","79","1.12",""
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",МИЕЩ ПРЕПАРАТ МЕДИКС 415МЛ МАКС ПАУЪР ЛИМОН ЖЪЛТ***","020333","79","1.12",""
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17","*САПУН ПАЛМОЛИВ 90ГР ЗЕЛЕН ЧАЙ И КРАСТАВИЦА","020346","83","1.27","0.76"
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",МИЕЩ ПРЕПАРАТ ФЕЯ 400МЛ ГЕЛ ЛИМОН","020480","79","1.12","0.95"
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",САПУН СЕЙФГАРД 90ГР ЛАЙКА","020520","83","1.43",""
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",САПУН СЕЙФГАРД 90ГР АЛОЕ","020529","83","1.43",""
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",МИЕЩ ПРЕПАРАТ ФЕЯ 400МЛ ГЕЛ ЯБЪЛКА","020554","79","1.12","0.95"
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",САПУН ТЕО 140ГР МИСТИК","020629","83","1.12","0.81"
